usuario,visualizaciones,url_reel,fechas
domtomato,"6623
76",https://www.instagram.com/domtomato/reel/DEex-k0v4DE/,2025-01-06 10:35:55+00:00
thejasonpaul,"51,1 mil",https://www.instagram.com/thejasonpaul/reel/DEh8u0jiBGG/,2025-01-07 16:06:52+00:00
